1,15
1,90
1,82
1,60
1,94
0,83
0,59
1,92
0,70
1,0
1,25
0,74
1,71
0,47
0,10
1,85
1,88
0,45
1,34
1,34
1,82
1,25
1,50
1,64
0,6
1,33
0,51
1,68
0,97
1,99
1,46
0,58
0,56
1,33
0,36
0,14
0,16
0,97
0,88
1,40
1,41
0,24
1,22
1,32
0,57
0,83
0,54
1,31
1,22
1,19
1,45
0,67
1,39
0,6
0,73
0,11
1,58
0,34
0,5
0,16
1,66
0,75
1,28
1,62
1,91
0,22
0,80
1,46
0,76
0,17
0,55
0,44
0,32
1,76
0,23
0,47
0,70
0,84
0,55
1,67
1,53
0,37
0,1
0,18
1,60
0,25
1,84
0,39
1,71
0,58
0,2
0,34
1,97
0,31
1,4
0,54
0,62
1,52
0,65
0,31
0,66
0,85
1,2
1,36
1,84
0,58
0,17
0,56
0,13
1,30
0,78
1,63
0,70
0,14
0,58
0,98
1,10
0,76
1,30
0,59
0,65
1,70
1,57
0,83
0,0
0,92
1,85
0,43
0,43
0,28
1,57
0,1
1,22
0,2
1,47
1,7
1,15
0,34
0,91
1,87
0,41
1,25
0,40
0,69
1,92
1,51
1,8
1,69
1,70
0,61
1,38
0,91
0,7
0,74
1,97
0,12
1,53
1,36
1,83
1,11
0,34
0,88
1,10
0,69
0,35
1,37
1,18
0,90
0,84
1,35
0,34
1,81
1,60
1,35
0,45
1,72
0,6
0,19
0,14
0,28
1,45
0,45
0,98
0,45
0,7
1,96
1,22
1,79
0,41
0,13
0,81
1,88
0,5
0,65
1,14
1,24
1,58
0,78
1,43
1,57
0,41
0,1
0,91
1,89
0,68
1,74
1,3
0,8
1,51
1,13
1,73
1,4
0,73
0,38
1,8
1,1
1,74
1,82
1,58
0,56
0,35
0,1
0,0
0,64
1,37
1,42
0,48
1,47
1,12
1,74
1,36
0,11
1,72
1,7
0,21
0,27
0,41
1,38
0,73
1,31
0,63
1,39
0,43
1,29
1,44
0,52
1,67
1,92
0,34
0,68
0,35
1,31
1,65
0,4
1,45
0,91
0,37
0,98
1,73
1,39
0,65
0,65
0,90
0,42
0,91
0,92
1,95
0,94
0,52
0,49
0,51
1,46
0,25
0,52
0,95
0,48
0,79
1,39
0,88
0,3
0,89
1,72
0,27
0,52
0,49
1,99
0,46
0,65
0,69
0,78
1,86
0,51
1,68
1,75
0,87
1,20
0,42
0,21
1,92
0,97
1,52
0,74
0,41
0,91
1,85
0,50
0,48
0,40
1,6
0,60
1,61
0,23
1,69
1,85
0,7
1,7
1,43
1,33
0,44
0,9
0,63
0,58
0,24
1,76
0,82
1,87
1,57
0,26
0,18
0,36
1,34
1,43
0,31
1,5
1,83
1,25
1,12
0,9
0,48
1,49
1,97
1,41
1,84
0,94
0,63
1,26
0,8
0,13
1,80
0,16
0,67
0,42
1,25
0,58
0,16
1,96
0,50
0,70
1,26
1,28
1,3
1,95
1,70
1,51
1,98
0,56
0,58
0,29
1,17
1,30
1,79
0,1
1,92
1,93
1,72
0,68
1,16
0,22
1,22
0,15
0,74
1,47
0,32
1,84
0,10
1,58
1,56
1,14
1,85
0,2
1,87
1,98
1,45
1,87
0,1
1,57
1,40
1,83
1,1
1,41
0,98
1,58
1,79
1,36
0,8
1,93
0,44
0,56
1,90
1,55
1,4
0,26
1,32
1,29
1,86
0,53
1,79
0,88
0,24
0,80
0,26
0,26
0,56
1,26
0,30
1,1
0,44
1,96
1,40
1,49
1,68
1,59
1,14
0,21
0,39
0,66
1,5
0,41
1,21
1,3
1,61
0,38
1,21
0,41
0,6
0,80
0,67
1,80
1,82
0,19
0,35
1,73
1,25
0,9
0,30
0,28
0,94
1,30
1,28
1,63
1,66
0,35
0,54
0,6
0,27
1,79
1,72
1,40
1,42
0,68
1,28
0,75
1,9
0,31
1,57
0,30
0,77
0,81
0,48
1,41
1,20
1,8
0,54
0,74
0,31
1,8
1,96
1,47
1,38
1,92
0,9
0,58
1,51
1,2
0,74
0,28
1,0
1,73
0,96
0,17
1,57
1,62
0,19
0,21
0,95
0,82
1,80
0,75
0,34
0,97
1,45
0,64
0,25
0,85
0,96
0,64
0,45
0,63
0,49
1,79
0,39
1,33
1,38
0,89
1,8
1,0
1,29
0,14
0,27
1,78
1,59
0,11
1,56
1,40
0,56
1,59
1,30
1,53
1,11
0,73
1,48
0,4
0,11
1,82
0,17
1,89
1,76
1,47
0,83
1,96
1,2
0,24
1,5
0,55
0,70
1,0
0,77
1,32
1,4
1,71
1,88
0,31
0,68
1,3
0,43
0,67
1,15
0,80
0,80
